Day of Year;Ano de Period End;Duration;Region Name;Region Type;Period Begin;Period End;adjusted_average_new_listings;adjusted_average_new_listings_yoy;Average New Listings Yoy (tooltip)
66;2021;4 weeks; All Redfin Metros;metro;08/02/2021;07/03/2021;85660;-0,092546294;-9,3%
73;2021;4 weeks; All Redfin Metros;metro;15/02/2021;14/03/2021;90406;-0,089851104;-9,0%
80;2021;4 weeks; All Redfin Metros;metro;22/02/2021;21/03/2021;97378;-0,039863539;-4,0%
255;2021;4 weeks; All Redfin Metros;metro;16/08/2021;12/09/2021;101227;-0,018671294;-1,9%
269;2021;4 weeks; All Redfin Metros;metro;30/08/2021;26/09/2021;98485;-0,041331244;-4,1%
276;2021;4 weeks; All Redfin Metros;metro;06/09/2021;03/10/2021;99253;-0,026845506;-2,7%
297;2021;4 weeks; All Redfin Metros;metro;27/09/2021;24/10/2021;95885;-0,034167028;-3,4%
304;2021;4 weeks; All Redfin Metros;metro;04/10/2021;31/10/2021;91922;-0,032929344;-3,3%
311;2021;4 weeks; All Redfin Metros;metro;11/10/2021;07/11/2021;89941;-0,007098384;-0,7%
318;2021;4 weeks; All Redfin Metros;metro;18/10/2021;14/11/2021;87367;0,007402710;0,7%
325;2021;4 weeks; All Redfin Metros;metro;25/10/2021;21/11/2021;84212;-0,001434788;-0,1%
332;2021;4 weeks; All Redfin Metros;metro;01/11/2021;28/11/2021;74409;-0,008118052;-0,8%
339;2021;4 weeks; All Redfin Metros;metro;08/11/2021;05/12/2021;70539;-0,023505960;-2,4%
346;2021;4 weeks; All Redfin Metros;metro;15/11/2021;12/12/2021;65908;-0,042730574;-4,3%
353;2021;4 weeks; All Redfin Metros;metro;22/11/2021;19/12/2021;60771;-0,035120588;-3,5%
360;2021;4 weeks; All Redfin Metros;metro;29/11/2021;26/12/2021;57627;-0,019448698;-1,9%
2;2022;4 weeks; All Redfin Metros;metro;06/12/2021;02/01/2022;48828;-0,044816996;-4,5%
9;2022;4 weeks; All Redfin Metros;metro;13/12/2021;09/01/2022;48924;-0,057976317;-5,8%
16;2022;4 weeks; All Redfin Metros;metro;20/12/2021;16/01/2022;52385;-0,073159943;-7,3%
37;2022;4 weeks; All Redfin Metros;metro;10/01/2022;06/02/2022;74772;-0,070289089;-7,0%
23;2022;4 weeks; All Redfin Metros;metro;27/12/2021;23/01/2022;62186;-0,085338589;-8,5%
30;2022;4 weeks; All Redfin Metros;metro;03/01/2022;30/01/2022;71029;-0,078789687;-7,9%
44;2022;4 weeks; All Redfin Metros;metro;17/01/2022;13/02/2022;77165;-0,049048000;-4,9%
51;2022;4 weeks; All Redfin Metros;metro;24/01/2022;20/02/2022;80834;0,014126562;1,4%
